stationid	stationname	province	latitude	longitude	start_dt	end_dt
200	PINE ISLAND	BC	50.98	-127.73	1994-01-01	2001-12-31
239	CARMANAH POINT	BC	48.61	-124.75	1968-03-01	2020-05-16
240	CARNATION CREEK CDF	BC	48.9	-125.0	1971-04-01	1990-06-30
242	CONUMA RIVER HATCHERY	BC	49.8	-126.42	1989-01-24	2018-10-31
248	HERBERT INLET	BC	49.4	-125.9	1959-03-03	1960-11-30
254	KILDONAN	BC	49.0	-125.0	1937-01-01	1976-05-31
255	KILDONAN FATTY BASIN	BC	48.98	-125.02	1967-06-01	1971-11-30
263	PORT ALBERNI	BC	49.23	-124.8	1917-07-01	1960-10-31
264	PORT ALBERNI A	BC	49.25	-124.83	1969-11-01	1995-03-31
265	PORT ALBERNI CHINA CREEK	BC	49.23	-124.78	1960-01-01	1981-02-28
266	PORT ALBERNI COX LAKE	BC	49.2	-124.75	1987-03-13	2020-07-19
267	PORT ALBERNI REDFORD	BC	49.25	-124.8	1959-05-01	1971-12-31
268	PORT ALBERNI SHUHUM CREEK	BC	49.3	-124.93	1987-04-14	2000-04-30
269	PORT ALICE	BC	50.39	-127.46	1924-01-01	2015-11-17
270	PORT ALICE TOWNSITE	BC	50.43	-127.48	1987-05-06	1991-09-30
271	QUATSINO	BC	50.53	-127.65	1895-06-22	2023-02-23
272	QUATSINO LIGHTSTATION	BC	50.44	-128.03	1994-01-01	2001-12-31
275	TAHSIS	BC	49.92	-126.65	1952-10-01	1988-12-31
276	TAHSIS VILLAGE NORTH	BC	49.93	-126.65	1989-02-01	2023-03-07
281	UCLUELET	BC	48.97	-125.53	1914-06-01	1948-07-31
282	UCLUELET BRYNNOR MINES	BC	49.05	-125.43	1964-05-06	1968-06-30
283	UCLUELET KENNEDY CAMP	BC	48.95	-125.53	1964-06-01	2023-03-05
287	SQUAMISH ASHLU CREEK	BC	49.95	-123.42	1984-08-01	1984-08-31
289	SQUAMISH PARADISE VALLEY	BC	49.83	-123.15	1987-08-01	1989-06-30
300	BUCCANEER BAY	BC	49.48	-123.97	1927-08-01	1948-11-30
303	CLOWHOM FALLS	BC	49.72	-123.53	1932-02-14	1990-11-30
305	DESERTED BAY	BC	50.1	-123.73	1981-02-01	1982-05-31
307	GARIBALDI	BC	49.98	-123.13	1921-07-01	1980-09-30
316	LOIS LAKE	BC	49.87	-124.15	1954-01-01	1956-03-31
317	LOIS RIVER DAM	BC	49.8	-124.32	1931-04-01	2007-07-31
318	LUND	BC	49.98	-124.77	1960-02-01	1975-04-30
319	MALIBU JERVIS INLET	BC	50.17	-123.85	1974-08-29	2012-04-18
325	POWELL LAKE	BC	50.1	-124.47	1954-02-01	1954-09-30
326	POWELL RIVER	BC	49.88	-124.55	1924-01-01	2007-07-31
327	POWELL RIVER A	BC	49.83	-124.5	1982-03-23	2013-12-31
328	POWELL RIVER GRIEF POINT	BC	49.8	-124.52	1960-02-01	1993-12-16
329	POWELL RIVER WESTVIEW	BC	49.83	-124.52	1960-06-01	1986-01-31
332	SQUAMISH GARIBALDI	BC	49.73	-123.15	1975-09-01	1996-12-31
333	SECHELT	BC	49.47	-123.77	1927-01-01	1968-07-31
334	SECHELT SANDY HOOK	BC	49.53	-123.77	1987-01-12	1987-11-30
335	SECHELT 5WEST	BC	49.47	-123.81	1989-03-01	2005-07-31
336	SQUAMISH AIRPORT	BC	49.78	-123.16	1982-05-18	2023-03-08
337	SQUAMISH	BC	49.7	-123.13	1959-10-01	1996-08-31
338	SQUAMISH FMC CHEMICALS	BC	49.68	-123.17	1968-11-03	1983-02-28
339	SQUAMISH ST DAVIDS	BC	49.75	-123.0	1973-09-01	1975-03-31
340	SQUAMISH STP	BC	49.73	-123.15	1981-06-16	1996-06-30
341	SQUAMISH STP CENTRAL	BC	49.7	-123.16	1986-08-01	2005-10-31
342	SQUAMISH UPPER	BC	49.9	-123.28	1979-05-01	2010-02-01
343	SQUAMISH 10 MILE	BC	49.82	-123.2	1990-04-01	1991-09-30
347	WEST REDONDA ISLAND	BC	50.25	-124.82	1983-09-01	1984-01-31
355	EDEN LAKE	BC	53.87	-132.73	1973-06-01	1974-05-31
361	MASSET A	BC	54.0	-132.17	1944-10-08	2016-06-12
365	QUEEN CHARLOTTE CITY	BC	53.25	-132.08	1914-10-01	1948-12-31
367	SANDSPIT A	BC	53.25	-131.81	1953-01-01	2005-12-31
375	ALICE ARM	BC	55.68	-129.5	1948-01-19	1964-09-30
376	ALICE ARM	BC	55.47	-129.47	1973-06-16	1978-09-30
383	BOAT BLUFF	BC	52.64	-128.52	1994-01-01	2001-12-31
387	DRYAD POINT	BC	52.19	-128.11	1994-01-01	2001-12-31
391	FALLS RIVER	BC	53.98	-129.73	1931-11-01	1992-10-31
394	HARTLEY BAY	BC	53.42	-129.25	1973-12-01	1998-07-31
395	IVORY ISLAND	BC	52.27	-128.41	1994-01-01	2001-12-31
397	KILDALA	BC	53.83	-128.48	1966-05-03	2000-08-31
401	KITIMAT MISSION	BC	53.98	-128.65	1902-10-01	1948-05-31
402	KITIMAT TOWNSITE	BC	54.05	-128.63	1954-01-22	2022-08-31
403	KITIMAT 2	BC	54.01	-128.71	1966-02-01	2022-09-04
404	KITIMAT 3	BC	54.06	-128.64	1988-09-01	2013-01-18
405	KITSAULT MINESITE	BC	55.43	-129.47	1968-01-16	1969-10-27
406	KNIGHT INLET	BC	51.1	-125.58	1962-07-09	1966-11-30
407	LAKELSE LAKE	BC	54.4	-128.52	1967-11-01	1999-09-30
410	MILL BAY	BC	55.0	-129.75	1915-01-01	1959-03-31
413	NAMU	BC	51.87	-127.87	1931-11-07	1985-05-31
420	PREMIER	BC	56.05	-130.02	1926-01-01	1996-09-30
446	TRIPLE ISLAND	BC	54.29	-130.88	1989-06-01	2001-12-13
447	WANNOCK RIVER	BC	51.68	-127.25	1974-08-01	1987-05-17
455	BABINE LAKE HALIFAX BAY	BC	55.05	-126.48	1972-05-29	1973-10-31
456	BABINE LAKE PINKUT CREEK	BC	54.45	-125.46	1968-12-20	2012-02-28
457	BIG OLIVER CREEK	BC	54.83	-128.3	1973-06-11	1975-05-31
460	CRANBERRY RIVER	BC	55.5	-128.23	1973-08-01	1974-11-30
473	KITSAULT MILLSITE	BC	55.42	-128.42	1967-02-01	1967-10-31
474	KITSAULT MINESITE	BC	55.5	-129.0	1969-12-01	1972-04-30
475	KITSAULT TOWNSITE	BC	55.45	-128.48	1967-01-13	1967-07-17
476	KITWANGA	BC	55.12	-128.05	1973-06-12	1979-09-30
485	QUICK	BC	54.62	-126.9	1962-10-11	1995-04-30
500	ALEXIS CREEK	BC	52.08	-123.28	1973-08-01	1995-05-31
501	ALEXIS CREEK	BC	52.13	-123.33	1919-10-01	1963-09-30
502	ALEXIS CREEK TAUTRI CRK	BC	52.55	-123.18	1961-02-01	1983-09-30
507	BIG CREEK	BC	51.67	-123.07	1893-01-01	1998-11-30
508	BRALORNE	BC	50.78	-122.82	1924-08-01	1963-06-30
509	CHARLOTTE LAKE	BC	52.15	-125.28	1980-10-21	1981-02-28
510	CHARLIE CREEK RANCH	BC	51.75	-124.47	1975-10-01	1976-12-31
520	KLEENA KLEENE	BC	51.98	-124.93	1953-01-01	1968-05-15
521	KLEENA KLEENE 2	BC	51.98	-124.99	1980-10-21	2006-11-30
523	LUNCH LAKE	BC	51.82	-124.47	1980-10-18	2009-12-31
524	MEAGER CREEK	BC	50.63	-123.4	1981-08-01	1982-08-31
535	OOTSA L SKINS L SPILLWAY	BC	53.77	-126.0	1956-12-01	2017-07-21
544	QUESNEL BAR HL RANCH	BC	52.83	-123.08	1961-12-01	1963-02-28
547	TAHTSA LAKE WEST	BC	53.62	-127.7	1951-12-01	2000-07-31
548	TAKYSIE LAKE	BC	53.87	-125.87	1987-07-01	2007-06-11
554	TYAUGHTON LAKE RESORT	BC	50.93	-122.78	1973-10-01	1973-10-31
559	108 MILE HOUSE ABEL LAKE	BC	51.62	-121.26	1987-07-01	2020-11-19
565	ALEZA LAKE	BC	54.12	-122.07	1952-02-01	1980-07-31
576	CANIM LAKE	BC	51.9	-120.78	1959-03-01	1959-10-31
588	FORT ST JAMES	BC	54.46	-124.29	1895-01-01	2019-05-08
589	FORT ST JAMES A	BC	54.42	-124.25	1979-05-01	1991-06-30
590	GANG RANCH	BC	51.55	-122.33	1973-09-13	1990-07-31
597	ISLE PIERRE	BC	53.97	-123.23	1970-06-01	1973-09-30
606	LEO CREEK	BC	55.08	-125.58	1973-11-11	1980-03-31
619	MOUNT ROBSON RANCH	BC	53.02	-119.23	1975-05-05	1992-08-31
624	OLD SUMMIT RD NORTH	BC	54.12	-122.65	1976-07-01	1977-09-30
625	100 MILE HOUSE	BC	51.65	-121.27	1957-06-01	1959-08-31
626	108 MILE HOUSE	BC	51.75	-121.33	1970-05-22	1973-07-31
627	150 MILE HOUSE	BC	52.12	-121.93	1947-10-19	1963-09-30
628	150 MILE HOUSE 7N	BC	52.22	-122.0	1969-01-01	1975-01-31
634	PR GEORGE FOREMAN FLAT	BC	53.93	-122.68	1962-03-15	1966-10-31
638	QUESNEL	BC	52.98	-122.48	1892-11-26	1970-04-30
639	QUESNEL AUT	BC	53.03	-122.52	1994-01-01	1994-09-19
640	QUESNEL A	BC	53.03	-122.51	1953-01-01	2006-12-31
641	QUESNEL MOOSE HEIGHTS	BC	53.07	-122.5	1962-12-01	1984-01-31
642	QUESNEL NAZKO ROAD	BC	53.02	-122.67	1968-01-01	1974-03-31
643	RED PASS JUNCTION	BC	53.0	-119.0	1931-11-01	1969-06-30
644	RED PASS MT ROBSON PARK	BC	52.98	-119.0	1970-07-01	1975-04-30
653	TAKLA LANDING	BC	55.47	-125.97	1962-11-01	1991-05-31
658	TYEE LAKE	BC	52.38	-122.08	1988-09-01	1998-05-31
677	NORTH VANC LONSDALE PARK	BC	49.33	-123.07	1969-12-01	1971-05-31
685	PORLIER PASS LIGHT STATION	BC	49.02	-123.58	1987-06-01	1996-02-29
690	VANCOUVER KITSILANO BEACH	BC	49.27	-123.17	1987-04-13	1988-04-30
692	VANCOUVER WEST 10TH	BC	49.27	-123.17	1975-06-01	1984-11-30
694	NORTH VANCOUVER BLUE RIDGE	BC	49.32	-123.0	1988-08-01	1989-09-30
695	NORTH VANCOUVER DOLLARTON	BC	49.32	-122.95	1988-09-01	1991-01-31
701	ABBOTSFORD	BC	49.02	-122.33	1956-04-01	1956-12-31
702	ABBOTSFORD A	BC	49.03	-122.36	1953-01-01	2012-06-20
703	ABBOTSFORD EAST	BC	49.03	-122.25	1960-11-24	1962-12-31
704	ABBOTSFORD KING ROAD	BC	49.03	-122.3	1968-11-01	1973-03-31
746	CLOVERDALE CENTRE	BC	49.1	-122.73	1962-06-04	1966-01-31
747	CLOVERDALE EAST	BC	49.11	-122.7	1964-01-01	2023-01-22
748	CLOVERVALLEY FRYS CORNER	BC	49.13	-122.73	1974-04-09	1974-08-31
753	EDENBANK SARDIS	BC	49.13	-121.97	1977-04-01	1997-05-31
767	DEROCHE	BC	49.18	-122.07	1984-07-01	1990-11-30
808	MILNER AIC	BC	49.13	-122.62	1967-03-01	1979-01-31
811	MOUNT SEYMOUR	BC	49.43	-122.95	1958-06-01	1968-07-31
812	NEW WESTMINSTER	BC	49.22	-122.93	1874-09-01	1966-06-30
813	NEW WESTMINSTER BC PEN	BC	49.22	-122.9	1960-07-01	1980-01-31
814	NEW WESTM QUEENS PARK	BC	49.22	-122.92	1958-05-01	1958-12-24
815	NEW WESTMINSTER WEST	BC	49.22	-122.93	1960-01-01	1971-09-30
817	NORTH BURNABY UNION	BC	49.28	-122.95	1973-04-01	1980-01-31
821	NORTH VANCOUVER CITY	BC	49.32	-123.08	1960-01-21	1961-12-31
824	NORTH VANCOUVER HOLYROOD	BC	49.35	-123.08	1960-02-01	1968-12-31
828	NORTH VANCOUVER NORGATE	BC	49.32	-123.12	1960-01-01	1963-04-27
835	RICHMOND BROADMOOR 2	BC	49.15	-123.12	1990-12-01	1993-08-31
837	RICHMOND NATURE PARK	BC	49.17	-123.09	1977-03-25	2023-02-24
838	RICHMOND GEAL RD	BC	49.15	-123.17	1976-06-01	1988-10-31
851	RICHMOND CBC TRANSMITTER	BC	49.15	-123.12	1961-12-01	1969-04-30
852	RICHMOND BROADMOOR	BC	49.13	-123.13	1986-04-01	1993-04-30
853	RICHMOND DALLYN 2	BC	49.18	-123.09	1963-11-01	2023-03-07
854	RICHMOND EAST	BC	49.18	-122.97	1959-11-06	1961-11-30
855	RICHMOND MCLENNAN ROAD	BC	49.2	-123.1	1970-04-17	1973-05-31
856	RICHMOND MINLER ROAD	BC	49.15	-123.15	1970-04-11	1970-09-30
857	RICHMOND NELSON RD	BC	49.17	-123.02	1961-02-01	1963-09-30
858	RICHMOND RIVER ROAD EAST	BC	49.2	-123.03	1970-04-17	1970-08-31
870	SUMAS CANAL	BC	49.11	-122.11	1957-02-01	2023-03-08
871	SUMAS PRAIRIE	BC	49.05	-122.13	1969-12-22	1976-08-31
872	SUMAS PRAIRIE 2	BC	49.05	-122.15	1980-08-01	1980-10-31
879	VANCOUVER WALES ST	BC	49.22	-123.05	1982-04-01	1986-03-31
889	VANCOUVER INTL A	BC	49.2	-123.18	1953-01-01	2013-06-12
890	VANCOUVER KERRISDALE	BC	49.23	-123.17	1960-01-22	1961-01-31
891	VANCOUVER KERRISDALE	BC	49.23	-123.13	1970-11-01	1980-02-29
892	VANCOUVER KINGCREST	BC	49.25	-123.08	1955-07-15	1961-07-31
893	VANCOUVER KITSILANO	BC	49.27	-123.17	1956-05-01	1990-11-30
894	VANCOUVER MARPOLE	BC	49.2	-123.13	1955-07-01	1957-09-30
895	VANCOUVER MT PLEASANT	BC	49.27	-123.1	1955-07-01	1956-12-31
896	VANCOUVER OAK 53	BC	49.22	-123.13	1970-02-20	1977-12-31
897	VANCOUVER OAKRIDGE	BC	49.23	-123.12	1960-01-21	2008-12-31
898	VANCOUVER PMO	BC	49.28	-123.12	1898-10-01	1979-05-31
899	VANCOUVER QUILCHENA	BC	49.23	-123.15	1955-07-01	1961-08-31
900	VANCOUVER RUPERT ST	BC	49.23	-123.03	1984-01-01	1984-08-31
901	VANCOUVER SOUTHLANDS	BC	49.23	-123.18	1960-01-20	2004-12-31
902	VANCOUVER SOUTH FRASER	BC	49.22	-123.07	1955-07-01	1972-02-29
903	VANCOUVER UBC	BC	49.25	-123.25	1957-09-01	1995-06-30
904	VANCOUVER WEST PT GREY	BC	49.27	-123.22	1963-01-01	1966-12-31
905	VANCOUVER WPG BYNG	BC	49.27	-123.2	1968-10-01	1970-05-31
907	WEST VANCOUVER	BC	49.33	-123.17	1953-09-01	1961-12-31
929	WHONNOCK	BC	49.21	-122.48	1985-01-01	1986-02-28
930	WHONNOCK NO 5 RD	BC	49.18	-122.47	1959-10-29	1960-11-30
931	WHONNOCK THORN HILL	BC	49.18	-122.5	1957-06-01	1969-03-31
932	WHONNOCK 269 ST	BC	49.18	-122.48	1960-12-01	1975-08-31
935	EDGE HILLS BUTCHER CREEK	BC	51.07	-121.94	1988-07-01	2002-10-31
938	ALLISON PASS	BC	49.13	-120.83	1958-09-03	1972-10-31
939	ALLISON PASS DOH	BC	49.12	-120.87	1974-11-20	1989-05-31
945	HOPE	BC	49.37	-121.48	1994-01-03	2005-03-08
946	HOPE A	BC	49.37	-121.5	1953-01-01	1995-03-31
947	HOPE DOG MOUNTAIN	BC	49.42	-121.55	1958-04-01	1958-10-31
948	HOPE KAWKAWA LAKE	BC	49.38	-121.4	1955-04-15	1977-06-30
949	HOPE LITTLE MOUNTAIN	BC	49.38	-121.42	1910-03-01	1954-12-31
950	HOPE SLIDE	BC	49.27	-121.22	1967-05-01	1974-04-30
951	HOPE SLIDE	BC	49.27	-121.23	1975-05-20	2014-12-31
972	PORCUPINE CREEK	BC	51.03	-121.8	1974-08-13	1995-04-30
979	SUMMERLAND CS	BC	49.56	-119.65	1994-01-01	2023-03-08
981	OLIVER ROCKCLIFF	BC	49.17	-119.57	1989-08-01	1989-11-30
985	ARMSTRONG GRANDVIEW	BC	50.4	-119.28	1959-03-27	1960-06-30
1014	LOGAN LAKE	BC	50.5	-120.82	1971-10-01	2005-10-31
1015	MAMIT LAKE	BC	50.38	-120.8	1924-01-01	1965-03-31
1019	MEADOWGREEN	BC	50.47	-120.68	1980-06-01	1986-11-30
1031	OLIVER MONASHEE VINEYARD	BC	49.12	-119.55	1978-06-01	1978-09-30
1037	OLIVER	BC	49.17	-119.56	1938-06-01	2008-10-21
1038	OLIVER EAST	BC	49.18	-119.53	1962-08-13	1967-02-28
1039	OLIVER STP	BC	49.18	-119.54	1924-01-01	2022-05-30
1045	OYAMA	BC	50.11	-119.37	1965-06-01	1997-10-31
1054	PENTICTON SEWAGE PLANT	BC	49.5	-119.6	1954-10-01	1969-11-30
1062	SUMMERLAND CDA	BC	49.57	-119.65	1916-01-01	1995-03-31
1063	SUMMERLAND CDA EL	BC	49.57	-119.63	1949-06-01	1964-09-30
1077	BEAVERDELL	BC	49.42	-119.11	1925-09-01	2000-10-19
1078	BEAVERDELL NORTH	BC	49.48	-119.05	1975-05-18	2006-09-30
1079	BIG WHITE	BC	49.73	-118.93	1981-02-16	1999-04-17
1080	BIG WHITE MTN LODGE	BC	49.73	-118.93	1965-03-01	1968-06-30
1082	CARMI	BC	49.5	-119.08	1924-01-01	1969-03-14
1083	CHRISTIAN VALLEY	BC	49.65	-118.75	1972-06-19	1985-04-30
1087	GRAND FORKS RAYFIELD	BC	49.02	-118.47	1909-09-01	1990-05-31
1090	LYNCH CREEK	BC	49.25	-118.43	1924-01-01	1948-11-30
1093	ROCK CREEK MT BALDY	BC	49.12	-119.16	1988-09-01	2000-12-31
1094	ROCK CREEK WEST	BC	49.05	-119.07	1963-12-01	1966-12-31
1099	ARGENTA	BC	50.17	-116.93	1957-11-01	1974-06-30
1100	BILLINGS	BC	49.02	-118.23	1984-11-01	2023-03-07
1109	CRAWFORD BAY	BC	49.68	-116.83	1907-07-01	1969-04-30
1110	CRESCENT VALLEY	BC	49.45	-117.57	1939-03-01	1965-11-30
1116	EDGEWOOD	BC	49.83	-118.13	1951-11-01	1958-08-23
1122	HARROP	BC	49.6	-117.05	1959-11-01	1961-08-07
1124	KASLO	BC	49.91	-116.92	1894-07-21	2018-09-13
1131	NAKUSP	BC	50.25	-117.8	1912-03-01	1995-02-28
1132	NAKUSP GLENBANK	BC	50.27	-117.78	1985-12-01	1991-11-30
1143	OLD GLORY MOUNTAIN	BC	49.15	-117.92	1953-01-01	1967-12-31
1150	SANDON	BC	49.97	-117.22	1941-07-01	1964-12-31
1158	WANETA	BC	49.02	-117.58	1913-03-01	1977-08-31
1159	WARFIELD	BC	49.1	-117.75	1928-06-01	2002-12-31
1160	WEST CRESTON	BC	49.08	-116.58	1949-11-16	1962-11-30
1164	KIMBERLEY MEADOWBROOK	BC	49.7	-115.9	1984-02-01	1986-06-30
1166	ABERFELDIE	BC	49.5	-115.37	1950-05-01	1982-05-31
1171	CRANBROOK CITY	BC	49.51	-115.76	1979-07-01	2003-03-31
1173	CRANBROOK A	BC	49.53	-115.77	1938-02-01	1968-02-29
1174	CRANBROOK A	BC	49.61	-115.78	1968-03-01	2012-11-07
1175	CRANBROOK MAYOOK	BC	49.45	-115.52	1974-05-14	1986-06-30
1176	CRANBROOK MT BAKER	BC	49.5	-115.73	1972-08-22	1977-08-31
1177	CRANBROOK SE	BC	49.48	-115.75	1984-12-01	2002-11-30
1183	FORDING RIVER CLODE CRK	BC	50.2	-114.82	1976-01-20	1987-04-30
1184	FORDING RIVER COMINCO	BC	50.15	-114.86	1970-01-01	2017-04-12
1185	FORT STEELE	BC	49.63	-115.62	1966-05-01	1968-02-15
1191	KIMBERLEY	BC	49.68	-115.98	1960-07-02	1974-09-30
1192	KIMBERLEY A	BC	49.73	-115.78	1953-01-01	1969-04-09
1193	KIMBERLEY CHAPMAN CAMP	BC	49.68	-115.98	1974-10-15	1976-04-30
1200	MARYSVILLE	BC	49.64	-115.96	1972-08-23	2009-09-30
1205	NEWGATE	BC	49.02	-115.15	1914-03-13	1960-07-31
1209	WARDNER KTNY HATCHERY	BC	49.47	-115.46	1971-10-01	2021-02-21
1211	WHITESWAN LAKE	BC	50.17	-115.42	1959-02-19	1961-10-31
1217	VIDETTE LAKE SHARPE LAKE	BC	51.33	-120.84	1987-06-18	2009-06-30
1221	MONTE CREEK WEST	BC	50.65	-120.02	1986-07-01	1996-11-30
1222	MONTE CREEK	BC	50.65	-119.95	1986-07-01	2007-03-30
1223	MONTE LAKE PAXTON VALLEY	BC	50.53	-119.8	1972-04-12	1990-12-31
1224	108 MILE HOUSE WATSON LAKE	BC	51.7	-121.33	1987-07-01	1989-12-31
1226	ARMSTRONG	BC	50.45	-119.18	1912-01-01	1992-09-30
1227	ARMSTRONG HULLCAR	BC	50.5	-119.22	1971-07-13	1998-12-31
1228	ARMSTRONG NORTH	BC	50.47	-119.13	1972-10-01	1993-12-31
1234	AVOLA	BC	51.78	-119.33	1974-05-07	1982-02-28
1235	BARRIERE	BC	51.18	-120.12	1955-11-12	1996-10-31
1237	BLUE RIVER A	BC	52.13	-119.29	1969-12-01	2015-12-31
1238	BLUE RIVER NORTH	BC	52.15	-119.28	1929-01-01	1985-09-30
1243	BUFFALO LAKE	BC	51.71	-121.08	1962-05-10	2016-11-04
1244	CACHE CREEK 16 MILE	BC	50.92	-121.42	1982-11-01	1998-11-16
1245	CANIM LAKE EAGLE CREEK	BC	51.87	-120.87	1987-06-18	1991-06-30
1257	DARFIELD	BC	51.29	-120.18	1956-04-01	2018-03-29
1262	FALKLAND SALMON VALLEY	BC	50.47	-119.4	1959-03-25	1986-08-31
1263	FALKLAND SPANISH LAKE	BC	50.5	-119.5	1974-12-12	1984-03-31
1271	HOOPATATKWA LAKE	BC	51.2	-120.48	1967-07-01	1967-08-31
1288	KNOUFF LAKE	BC	50.97	-120.13	1924-01-01	1951-05-31
1294	LONE BUTTE	BC	51.65	-120.83	1966-10-14	1967-02-28
1303	MONTE LAKE	BC	50.52	-119.85	1961-09-22	1968-09-30
1304	MONTE LAKE 2	BC	50.52	-119.85	1961-09-01	1962-12-31
