postalcode	closest_stationid	eff_from_dt	eff_to_dt
A0A1N0	10113	2017-01-09	2023-03-08
A0A1P0	6556	1953-01-01	1955-06-30
A0A1P0	6559	1955-07-01	1955-09-30
A0A1P0	6602	1955-10-01	1960-05-31
A0A1P0	6559	1960-06-01	1961-06-30
A0A1P0	6730	1961-07-01	1961-12-04
A0A1P0	6659	1961-12-05	1982-09-30
A0A1P0	6730	1982-10-01	1988-04-30
A0A1P0	6658	1988-05-01	1989-09-30
A0A1P0	6694	1989-10-01	1991-06-30
A0A1P0	6658	1991-07-01	2016-11-29
A0A1P0	6578	2016-11-30	2017-01-08
A0A1P0	10113	2017-01-09	2023-03-08
A0A1R0	6556	1953-01-01	1953-12-31
A0A1R0	6669	1954-01-01	1955-06-30
A0A1R0	6559	1955-07-01	1961-06-30
A0A1R0	6730	1961-07-01	1970-11-22
A0A1R0	6681	1970-11-23	1975-08-31
A0A1R0	6730	1975-09-01	1988-04-30
A0A1R0	6658	1988-05-01	1989-09-30
A0A1R0	6694	1989-10-01	1989-10-31
A0A1R0	6731	1989-11-01	1998-07-29
A0A1R0	6658	1998-07-30	2016-11-29
A0A1R0	6599	2016-11-30	2019-07-30
A0A1R0	6669	2019-07-31	2023-03-07
A0A1S0	6556	1953-01-01	1955-06-30
A0A1S0	6559	1955-07-01	1955-09-30
A0A1S0	6602	1955-10-01	1960-05-31
A0A1S0	6559	1960-06-01	1961-06-30
A0A1S0	6730	1961-07-01	1961-12-04
A0A1S0	6659	1961-12-05	1966-01-31
A0A1S0	6753	1966-02-01	1966-02-28
A0A1S0	6659	1966-03-01	1982-09-30
A0A1S0	6730	1982-10-01	1982-10-31
A0A1S0	6754	1982-11-01	1990-11-30
A0A1S0	6694	1990-12-01	1991-06-30
A0A1S0	6658	1991-07-01	2016-11-29
A0A1S0	6578	2016-11-30	2017-01-08
A0A1S0	10113	2017-01-09	2023-03-08
A0A1T0	6556	1953-01-01	1955-06-30
A0A1T0	6559	1955-07-01	1996-09-30
A0A1T0	6658	1996-10-01	2016-11-29
A0A1T0	6599	2016-11-30	2019-07-30
A0A1T0	10113	2019-07-31	2023-03-08
A0A1V0	6556	1953-01-01	1955-06-30
A0A1V0	6559	1955-07-01	1961-12-04
A0A1V0	6659	1961-12-05	1982-09-30
A0A1V0	6658	1982-10-01	2016-11-29
A0A1V0	10113	2016-11-30	2023-03-08
A0A1W0	6556	1953-01-01	1955-06-30
A0A1W0	6559	1955-07-01	1996-09-30
A0A1W0	6658	1996-10-01	2016-11-29
A0A1W0	10113	2016-11-30	2023-03-08
A0A1X0	6556	1953-01-01	1955-06-30
A0A1X0	6559	1955-07-01	1996-09-30
A0A1X0	6658	1996-10-01	2016-11-29
A0A1X0	10113	2016-11-30	2023-03-08
A0A1Y0	6556	1953-01-01	1955-06-30
A0A1Y0	6559	1955-07-01	1996-09-30
A0A1Y0	6658	1996-10-01	2016-11-29
A0A1Y0	10113	2016-11-30	2023-03-08
A0A1Z0	6556	1953-01-01	1955-06-30
A0A1Z0	6559	1955-07-01	1996-09-30
A0A1Z0	6658	1996-10-01	2016-11-29
A0A1Z0	10113	2016-11-30	2023-03-08
A0A2A0	6556	1953-01-01	1955-06-30
A0A2A0	6559	1955-07-01	1996-09-30
A0A2A0	6658	1996-10-01	2016-11-29
A0A2A0	10113	2016-11-30	2023-03-08
A0A2B0	6556	1953-01-01	1955-06-30
A0A2B0	6559	1955-07-01	1996-09-30
A0A2B0	6658	1996-10-01	2016-11-29
A0A2B0	10113	2016-11-30	2023-03-08
A0A2C0	6556	1953-01-01	1955-06-30
A0A2C0	6559	1955-07-01	1970-10-31
A0A2C0	6658	1970-11-01	2016-11-29
A0A2C0	10113	2016-11-30	2023-03-08
A0A2E0	6556	1953-01-01	1955-06-30
A0A2E0	6559	1955-07-01	1955-09-30
A0A2E0	6602	1955-10-01	1960-05-31
A0A2E0	6559	1960-06-01	1961-06-30
A0A2E0	6730	1961-07-01	1969-11-30
A0A2E0	6672	1969-12-01	1970-11-22
A0A2E0	6681	1970-11-23	1975-08-31
A0A2E0	6672	1975-09-01	2004-11-27
A0A2E0	6658	2004-11-28	2016-11-29
A0A2E0	10113	2016-11-30	2023-03-08
A0A2G0	6556	1953-01-01	1955-06-30
A0A2G0	6559	1955-07-01	1955-09-30
A0A2G0	6602	1955-10-01	1960-05-31
A0A2G0	6559	1960-06-01	1961-06-30
A0A2G0	6730	1961-07-01	1961-12-04
A0A2G0	6659	1961-12-05	1966-01-31
A0A2G0	6753	1966-02-01	1966-02-28
A0A2G0	6659	1966-03-01	1982-09-30
A0A2G0	6730	1982-10-01	1988-04-30
A0A2G0	6658	1988-05-01	1989-09-30
A0A2G0	6694	1989-10-01	1991-06-30
A0A2G0	6658	1991-07-01	2016-11-29
A0A2G0	6578	2016-11-30	2017-01-08
A0A2G0	10113	2017-01-09	2023-03-08
A0A2H0	6556	1953-01-01	1955-06-30
A0A2H0	6559	1955-07-01	1955-09-30
A0A2H0	6602	1955-10-01	1960-05-31
A0A2H0	6559	1960-06-01	1961-06-30
A0A2H0	6730	1961-07-01	1961-12-04
A0A2H0	6659	1961-12-05	1966-01-31
A0A2H0	6753	1966-02-01	1966-02-28
A0A2H0	6659	1966-03-01	1982-09-30
A0A2H0	6730	1982-10-01	1988-04-30
A0A2H0	6658	1988-05-01	1989-09-30
A0A2H0	6694	1989-10-01	1991-06-30
A0A2H0	6658	1991-07-01	2016-11-29
A0A2H0	6578	2016-11-30	2017-01-08
A0A2H0	10113	2017-01-09	2023-03-08
A0A2J0	6556	1953-01-01	1955-06-30
A0A2J0	6559	1955-07-01	1955-09-30
A0A2J0	6602	1955-10-01	1960-05-31
A0A2J0	6559	1960-06-01	1961-06-30
A0A2J0	6730	1961-07-01	1988-04-30
A0A2J0	6658	1988-05-01	1989-09-30
A0A2J0	6694	1989-10-01	1991-06-30
A0A2J0	6658	1991-07-01	2016-11-29
A0A2J0	10113	2016-11-30	2023-03-08
A0A2K0	6556	1953-01-01	1955-06-30
A0A2K0	6559	1955-07-01	1955-09-30
A0A2K0	6602	1955-10-01	1960-05-31
A0A2K0	6559	1960-06-01	1961-06-30
A0A2K0	6730	1961-07-01	1969-11-30
A0A2K0	6672	1969-12-01	1970-11-22
A0A2K0	6681	1970-11-23	1975-08-31
A0A2K0	6672	1975-09-01	2004-11-27
A0A2K0	6658	2004-11-28	2016-11-29
A0A2K0	10113	2016-11-30	2023-03-08
A0A2L0	6556	1953-01-01	1955-06-30
A0A2L0	6559	1955-07-01	1996-09-30
A0A2L0	6658	1996-10-01	2016-11-29
A0A2L0	10113	2016-11-30	2023-03-08
A0A2M0	6556	1953-01-01	1955-06-30
A0A2M0	6559	1955-07-01	1996-09-30
A0A2M0	6658	1996-10-01	2016-11-29
A0A2M0	6599	2016-11-30	2019-07-30
A0A2M0	10113	2019-07-31	2023-03-08
A0A2N0	6556	1953-01-01	1955-06-30
A0A2N0	6559	1955-07-01	1996-09-30
A0A2N0	6658	1996-10-01	2016-11-29
A0A2N0	10113	2016-11-30	2023-03-08
A0A2P0	6556	1953-01-01	1955-06-30
A0A2P0	6559	1955-07-01	1961-12-04
A0A2P0	6659	1961-12-05	1982-09-30
A0A2P0	6559	1982-10-01	1996-09-30
A0A2P0	6658	1996-10-01	2016-11-29
A0A2P0	10113	2016-11-30	2023-03-08
A0A2R0	6556	1953-01-01	1955-06-30
A0A2R0	6559	1955-07-01	1996-09-30
A0A2R0	6658	1996-10-01	2016-11-29
A0A2R0	10113	2016-11-30	2023-03-08
A0A2R1	6556	1953-01-01	1955-06-30
A0A2R1	6559	1955-07-01	1961-12-04
A0A2R1	6659	1961-12-05	1982-09-30
A0A2R1	6658	1982-10-01	2016-11-29
A0A2R1	10113	2016-11-30	2023-03-08
A0A2R2	6556	1953-01-01	1955-06-30
A0A2R2	6559	1955-07-01	1961-12-04
A0A2R2	6659	1961-12-05	1982-09-30
A0A2R2	6658	1982-10-01	2016-11-29
A0A2R2	10113	2016-11-30	2023-03-08
A0A2R3	6556	1953-01-01	1955-06-30
A0A2R3	6559	1955-07-01	1961-12-04
A0A2R3	6659	1961-12-05	1982-09-30
A0A2R3	6658	1982-10-01	2016-11-29
A0A2R3	10113	2016-11-30	2023-03-08
A0A2S0	6556	1953-01-01	1953-12-31
A0A2S0	6669	1954-01-01	1955-06-30
A0A2S0	6559	1955-07-01	1961-06-30
A0A2S0	6730	1961-07-01	1970-11-22
A0A2S0	6681	1970-11-23	1975-08-31
A0A2S0	6730	1975-09-01	1988-04-30
A0A2S0	6658	1988-05-01	1989-09-30
A0A2S0	6694	1989-10-01	1989-10-31
A0A2S0	6731	1989-11-01	1998-07-29
A0A2S0	6658	1998-07-30	2016-11-29
A0A2S0	6599	2016-11-30	2019-07-30
A0A2S0	6669	2019-07-31	2023-03-07
A0A2T0	6556	1953-01-01	1955-06-30
A0A2T0	6559	1955-07-01	1955-09-30
A0A2T0	6602	1955-10-01	1960-05-31
A0A2T0	6559	1960-06-01	1961-06-30
A0A2T0	6730	1961-07-01	1988-04-30
A0A2T0	6658	1988-05-01	1989-09-30
A0A2T0	6694	1989-10-01	1991-06-30
A0A2T0	6658	1991-07-01	2016-11-29
A0A2T0	10113	2016-11-30	2023-03-08
A0A2V0	6556	1953-01-01	1955-06-30
A0A2V0	6559	1955-07-01	1955-09-30
A0A2V0	6602	1955-10-01	1960-05-31
A0A2V0	6559	1960-06-01	1961-06-30
A0A2V0	6730	1961-07-01	1969-11-30
A0A2V0	6672	1969-12-01	1970-11-22
A0A2V0	6681	1970-11-23	1975-08-31
A0A2V0	6672	1975-09-01	2004-11-27
A0A2V0	6658	2004-11-28	2016-11-29
A0A2V0	10113	2016-11-30	2023-03-08
A0A2W0	6556	1953-01-01	1953-12-31
A0A2W0	6669	1954-01-01	1955-06-30
A0A2W0	6559	1955-07-01	1961-06-30
A0A2W0	6730	1961-07-01	1970-11-22
A0A2W0	6681	1970-11-23	1975-08-31
A0A2W0	6730	1975-09-01	1988-04-30
A0A2W0	6658	1988-05-01	1989-09-30
A0A2W0	6694	1989-10-01	1989-10-31
A0A2W0	6731	1989-11-01	1998-07-29
A0A2W0	6658	1998-07-30	2016-11-29
A0A2W0	6599	2016-11-30	2019-07-30
A0A2W0	6669	2019-07-31	2023-03-07
A0A2X0	6556	1953-01-01	1955-06-30
A0A2X0	6559	1955-07-01	1996-09-30
A0A2X0	6658	1996-10-01	2016-11-29
A0A2X0	10113	2016-11-30	2023-03-08
A0A2Y0	6556	1953-01-01	1955-06-30
A0A2Y0	6559	1955-07-01	1955-09-30
A0A2Y0	6602	1955-10-01	1960-05-31
A0A2Y0	6559	1960-06-01	1961-06-30
A0A2Y0	6730	1961-07-01	1988-04-30
A0A2Y0	6658	1988-05-01	1989-09-30
A0A2Y0	6694	1989-10-01	1991-06-30
A0A2Y0	6658	1991-07-01	2016-11-29
A0A2Y0	10113	2016-11-30	2023-03-08
A0A2Z0	6556	1953-01-01	1955-06-30
A0A2Z0	6559	1955-07-01	1996-09-30
A0A2Z0	6658	1996-10-01	2016-11-29
A0A2Z0	10113	2016-11-30	2023-03-08
A0A3A0	6556	1953-01-01	1955-06-30
A0A3A0	6559	1955-07-01	1955-09-30
A0A3A0	6602	1955-10-01	1960-05-31
A0A3A0	6559	1960-06-01	1961-06-30
A0A3A0	6730	1961-07-01	1961-12-04
A0A3A0	6659	1961-12-05	1982-09-30
A0A3A0	6730	1982-10-01	1988-04-30
A0A3A0	6658	1988-05-01	1989-09-30
A0A3A0	6694	1989-10-01	1991-06-30
A0A3A0	6658	1991-07-01	2016-11-29
A0A3A0	10113	2016-11-30	2023-03-08
A0A3B0	6556	1953-01-01	1953-12-31
A0A3B0	6669	1954-01-01	1955-06-30
A0A3B0	6559	1955-07-01	1955-09-30
A0A3B0	6602	1955-10-01	1960-05-31
A0A3B0	6559	1960-06-01	1961-06-30
A0A3B0	6730	1961-07-01	1969-11-30
A0A3B0	6672	1969-12-01	1970-11-22
A0A3B0	6681	1970-11-23	1975-08-31
A0A3B0	6672	1975-09-01	1989-10-31
A0A3B0	6731	1989-11-01	1998-07-29
A0A3B0	6672	1998-07-30	2004-11-27
A0A3B0	6658	2004-11-28	2016-11-29
A0A3B0	6599	2016-11-30	2019-07-30
A0A3B0	6669	2019-07-31	2023-03-07
A0A3B8	6556	1953-01-01	1955-06-30
A0A3B8	6559	1955-07-01	1955-09-30
A0A3B8	6602	1955-10-01	1960-05-31
A0A3B8	6559	1960-06-01	1961-12-04
A0A3B8	6659	1961-12-05	1966-01-31
A0A3B8	6753	1966-02-01	1966-02-28
A0A3B8	6659	1966-03-01	1982-09-30
A0A3B8	6559	1982-10-01	1982-10-31
A0A3B8	6754	1982-11-01	1990-11-30
A0A3B8	6725	1990-12-01	1997-04-30
A0A3B8	6658	1997-05-01	2016-11-29
A0A3B8	6578	2016-11-30	2017-01-08
A0A3B8	10113	2017-01-09	2023-03-08
A0A3C0	6556	1953-01-01	1955-06-30
A0A3C0	6559	1955-07-01	1996-09-30
A0A3C0	6658	1996-10-01	2016-11-29
A0A3C0	10113	2016-11-30	2023-03-08
A0A3E0	6556	1953-01-01	1953-12-31
A0A3E0	6669	1954-01-01	1955-06-30
A0A3E0	6559	1955-07-01	1961-06-30
A0A3E0	6730	1961-07-01	1988-04-30
A0A3E0	6658	1988-05-01	1989-09-30
A0A3E0	6694	1989-10-01	1989-10-31
A0A3E0	6731	1989-11-01	1998-07-29
A0A3E0	6658	1998-07-30	2016-11-29
A0A3E0	6599	2016-11-30	2019-07-30
A0A3E0	6669	2019-07-31	2023-03-07
A0A3G0	6556	1953-01-01	1953-12-31
A0A3G0	6669	1954-01-01	1955-06-30
A0A3G0	6559	1955-07-01	1961-06-30
A0A3G0	6730	1961-07-01	1970-11-22
A0A3G0	6681	1970-11-23	1975-08-31
A0A3G0	6730	1975-09-01	1988-04-30
A0A3G0	6671	1988-05-01	1989-09-30
A0A3G0	6694	1989-10-01	1989-10-31
A0A3G0	6731	1989-11-01	1998-07-29
A0A3G0	6671	1998-07-30	1999-05-31
A0A3G0	6658	1999-06-01	2016-11-29
A0A3G0	6599	2016-11-30	2019-07-30
A0A3G0	6669	2019-07-31	2023-03-07
A0A3H0	6556	1953-01-01	1955-06-30
A0A3H0	6559	1955-07-01	1955-09-30
A0A3H0	6602	1955-10-01	1960-05-31
A0A3H0	6559	1960-06-01	1961-06-30
A0A3H0	6730	1961-07-01	1969-11-30
A0A3H0	6672	1969-12-01	2004-11-27
A0A3H0	6658	2004-11-28	2016-11-29
A0A3H0	10113	2016-11-30	2023-03-08
A0A3J0	6556	1953-01-01	1955-06-30
A0A3J0	6559	1955-07-01	1996-09-30
A0A3J0	6658	1996-10-01	2016-11-29
A0A3J0	10113	2016-11-30	2023-03-08
A0A3K0	6556	1953-01-01	1955-06-30
A0A3K0	6559	1955-07-01	1955-09-30
A0A3K0	6602	1955-10-01	1960-05-31
A0A3K0	6559	1960-06-01	1961-06-30
A0A3K0	6730	1961-07-01	1969-11-30
A0A3K0	6672	1969-12-01	1970-11-22
A0A3K0	6681	1970-11-23	1975-08-31
A0A3K0	6672	1975-09-01	2004-11-27
A0A3K0	6658	2004-11-28	2016-11-29
A0A3K0	10113	2016-11-30	2023-03-08
A0A3L0	6556	1953-01-01	1955-06-30
A0A3L0	6559	1955-07-01	1955-09-30
A0A3L0	6602	1955-10-01	1960-05-31
A0A3L0	6559	1960-06-01	1961-06-30
A0A3L0	6730	1961-07-01	1969-11-30
A0A3L0	6672	1969-12-01	1970-11-22
A0A3L0	6681	1970-11-23	1975-08-31
A0A3L0	6672	1975-09-01	2004-11-27
A0A3L0	6658	2004-11-28	2016-11-29
A0A3L0	6599	2016-11-30	2019-07-30
A0A3L0	10113	2019-07-31	2023-03-08
A0A3M0	6556	1953-01-01	1953-12-31
A0A3M0	6669	1954-01-01	1955-06-30
A0A3M0	6559	1955-07-01	1955-09-30
A0A3M0	6602	1955-10-01	1960-05-31
A0A3M0	6559	1960-06-01	1961-06-30
A0A3M0	6730	1961-07-01	1966-10-31
A0A3M0	6671	1966-11-01	1970-11-22
A0A3M0	6681	1970-11-23	1975-08-31
A0A3M0	6671	1975-09-01	1989-10-31
A0A3M0	6731	1989-11-01	1998-07-29
A0A3M0	6671	1998-07-30	1999-05-31
A0A3M0	6672	1999-06-01	2004-11-27
A0A3M0	6658	2004-11-28	2016-11-29
A0A3M0	6599	2016-11-30	2019-07-30
A0A3M0	6669	2019-07-31	2023-03-07
A0A3N0	6556	1953-01-01	1955-06-30
A0A3N0	6559	1955-07-01	1955-09-30
A0A3N0	6602	1955-10-01	1960-05-31
A0A3N0	6559	1960-06-01	1961-06-30
A0A3N0	6730	1961-07-01	1961-12-04
A0A3N0	6659	1961-12-05	1966-01-31
A0A3N0	6753	1966-02-01	1966-02-28
A0A3N0	6659	1966-03-01	1982-09-30
A0A3N0	6730	1982-10-01	1982-10-31
A0A3N0	6754	1982-11-01	1990-11-30
A0A3N0	6694	1990-12-01	1991-06-30
A0A3N0	6725	1991-07-01	1997-04-30
A0A3N0	6658	1997-05-01	2016-11-29
A0A3N0	6578	2016-11-30	2017-01-08
A0A3N0	10113	2017-01-09	2023-03-08
A0A3P0	6556	1953-01-01	1955-06-30
A0A3P0	6559	1955-07-01	1996-09-30
A0A3P0	6658	1996-10-01	2016-11-29
A0A3P0	10113	2016-11-30	2023-03-08
A0A3R0	6556	1953-01-01	1966-01-31
A0A3R0	6753	1966-02-01	1966-02-28
A0A3R0	6556	1966-03-01	1970-05-31
A0A3R0	6559	1970-06-01	1976-04-30
A0A3R0	6557	1976-05-01	1982-10-31
A0A3R0	6754	1982-11-01	1989-10-31
A0A3R0	6725	1989-11-01	1997-04-30
A0A3R0	6682	1997-05-01	2007-11-02
A0A3R0	6578	2007-11-03	2017-01-08
A0A3R0	10113	2017-01-09	2023-03-08
A0A3S0	6556	1953-01-01	1953-12-31
A0A3S0	6669	1954-01-01	1955-06-30
A0A3S0	6559	1955-07-01	1989-10-31
A0A3S0	6731	1989-11-01	1998-07-29
A0A3S0	6658	1998-07-30	2016-11-29
A0A3S0	6599	2016-11-30	2019-07-30
A0A3S0	10113	2019-07-31	2023-03-08
A0A3T0	6556	1953-01-01	1955-06-30
A0A3T0	6559	1955-07-01	1961-06-30
A0A3T0	6730	1961-07-01	1970-10-31
A0A3T0	6658	1970-11-01	2016-11-29
A0A3T0	10113	2016-11-30	2023-03-08
A0A3V0	6556	1953-01-01	1955-06-30
A0A3V0	6559	1955-07-01	1996-09-30
A0A3V0	6658	1996-10-01	2016-11-29
A0A3V0	10113	2016-11-30	2023-03-08
A0A3W0	6556	1953-01-01	1955-06-30
A0A3W0	6559	1955-07-01	1996-09-30
A0A3W0	6658	1996-10-01	2016-11-29
A0A3W0	10113	2016-11-30	2023-03-08
A0A3X0	6556	1953-01-01	1955-06-30
A0A3X0	6559	1955-07-01	1996-09-30
A0A3X0	6748	1996-10-01	1997-03-31
A0A3X0	6658	1997-04-01	2016-11-29
A0A3X0	10113	2016-11-30	2023-03-08
A0A3Y0	6556	1953-01-01	1955-06-30
A0A3Y0	6559	1955-07-01	1955-09-30
A0A3Y0	6602	1955-10-01	1960-05-31
A0A3Y0	6559	1960-06-01	1961-06-30
A0A3Y0	6730	1961-07-01	1970-11-22
A0A3Y0	6681	1970-11-23	1975-08-31
A0A3Y0	6730	1975-09-01	1988-04-30
A0A3Y0	6658	1988-05-01	1989-09-30
A0A3Y0	6694	1989-10-01	1991-06-30
A0A3Y0	6658	1991-07-01	2016-11-29
A0A3Y0	10113	2016-11-30	2023-03-08
A0A3Z0	6556	1953-01-01	1955-06-30
A0A3Z0	6559	1955-07-01	1955-09-30
A0A3Z0	6602	1955-10-01	1960-05-31
A0A3Z0	6559	1960-06-01	1961-06-30
A0A3Z0	6730	1961-07-01	1969-11-30
A0A3Z0	6672	1969-12-01	1970-11-22
A0A3Z0	6681	1970-11-23	1975-08-31
A0A3Z0	6672	1975-09-01	2004-11-27
A0A3Z0	6658	2004-11-28	2016-11-29
A0A3Z0	10113	2016-11-30	2023-03-08
A0A4A0	6556	1953-01-01	1955-06-30
A0A4A0	6559	1955-07-01	1955-09-30
A0A4A0	6602	1955-10-01	1960-05-31
A0A4A0	6559	1960-06-01	1961-06-30
A0A4A0	6730	1961-07-01	1961-12-04
A0A4A0	6659	1961-12-05	1982-09-30
A0A4A0	6730	1982-10-01	1988-04-30
A0A4A0	6658	1988-05-01	1989-09-30
A0A4A0	6694	1989-10-01	1991-06-30
A0A4A0	6658	1991-07-01	2016-11-29
A0A4A0	10113	2016-11-30	2023-03-08
A0A4B0	6556	1953-01-01	1955-06-30
A0A4B0	6559	1955-07-01	1966-01-31
A0A4B0	6753	1966-02-01	1966-02-28
A0A4B0	6559	1966-03-01	1982-10-31
A0A4B0	6754	1982-11-01	1990-11-30
A0A4B0	6725	1990-12-01	1997-04-30
A0A4B0	6682	1997-05-01	2007-11-02
A0A4B0	6578	2007-11-03	2017-01-08
A0A4B0	10113	2017-01-09	2023-03-08
A0A4C0	6556	1953-01-01	1955-06-30
A0A4C0	6559	1955-07-01	1961-06-30
A0A4C0	6730	1961-07-01	1988-04-30
A0A4C0	6658	1988-05-01	1989-09-30
A0A4C0	6694	1989-10-01	1991-06-30
A0A4C0	6658	1991-07-01	2016-11-29
A0A4C0	10113	2016-11-30	2023-03-08
A0A4E0	6556	1953-01-01	1955-06-30
A0A4E0	6559	1955-07-01	1996-09-30
A0A4E0	6658	1996-10-01	2016-11-29
A0A4E0	10113	2016-11-30	2023-03-08
A0A4G0	6556	1953-01-01	1955-06-30
A0A4G0	6559	1955-07-01	1996-09-30
A0A4G0	6658	1996-10-01	2016-11-29
A0A4G0	6599	2016-11-30	2019-07-30
A0A4G0	10113	2019-07-31	2023-03-08
A0A4H0	6556	1953-01-01	1955-06-30
A0A4H0	6559	1955-07-01	1955-09-30
A0A4H0	6602	1955-10-01	1960-05-31
A0A4H0	6559	1960-06-01	1961-06-30
A0A4H0	6730	1961-07-01	1969-11-30
A0A4H0	6672	1969-12-01	1970-11-22
A0A4H0	6681	1970-11-23	1975-08-31
A0A4H0	6672	1975-09-01	2004-11-27
A0A4H0	6658	2004-11-28	2016-11-29
A0A4H0	10113	2016-11-30	2023-03-08
A0A4J0	6556	1953-01-01	1953-12-31
A0A4J0	6669	1954-01-01	1955-06-30
A0A4J0	6559	1955-07-01	1961-06-30
A0A4J0	6730	1961-07-01	1988-04-30
A0A4J0	6658	1988-05-01	1989-09-30
A0A4J0	6694	1989-10-01	1989-10-31
A0A4J0	6731	1989-11-01	1998-07-29
A0A4J0	6658	1998-07-30	2016-11-29
A0A4J0	6599	2016-11-30	2019-07-30
